"filename", "language", "HTML", "Markdown", "JavaScript", "Java", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "vue", "SCSS", "CSS", "XML", "JavaScript JSX", "Ignore", "Draw.io", "Properties", "YAML", "SQL", "comment", "blank", "total"
"d:\codes\996ForCredit\20230731\_20240731-mysql\3.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 16, 18, 85
"d:\codes\996ForCredit\20230731\_20240731-mysql\4.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 3, 22
"d:\codes\996ForCredit\20230731\_20240731-mysql\5.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 3, 18
"d:\codes\996ForCredit\20230731\_20240731-mysql\6.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 10, 10, 59
"d:\codes\996ForCredit\20230731\create_table.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 2, 18
"d:\codes\996ForCredit\20230731\querys\create.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 5, 5, 63
"d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\dataSources.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\sqldialects.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\codes\996ForCredit\20230801\_20230801-mybatis\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\codes\996ForCredit\20230801\_20230801-mybatis\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\java\com\tjetc\common\SqlSessionUtils.java", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 20
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\java\com\tjetc\dao\UserMapper.java", "Java", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 50
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\java\com\tjetc\entity\User.java", "Java", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\resources\db.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\resources\mapper\UserMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 22, 11, 171
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\main\resources\mybatis.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 14, 2, 45
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\test\java\com\tjetc\TestUser.java", "Java", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 10, 101
"d:\codes\996ForCredit\20230801\_20230801-mybatis\src\test\java\com\tjetc\TestUser2.java", "Java", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 16, 132
"d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\dataSources.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\codes\996ForCredit\20230802\_20230802-mybatis\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\codes\996ForCredit\20230802\_20230802-mybatis\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 6, 43
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\common\SqlSessionUtils.java", "Java", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 20
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\AdminMapper.java", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 14
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\CourseMapper.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\IdCardMapper.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\MyClassMapper.java", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\PersonMapper.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\StudentMapper.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\dao\TeacherMapper.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Admin.java", "Java", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12, 55
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Course.java", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\IdCard.java", "Java", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 42
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\MyClass.java", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 44
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Person.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 32
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Student.java", "Java", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 41
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\entity\Teacher.java", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\enums\EnumSex.java", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\java\com\tjetc\handlers\EnumSexTypeHandler.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 8, 56
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\AdminMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 3, 4, 31
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\CourseMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\IdCardMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 6, 51
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\MyClassMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 4, 47
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\PersonMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\StudentMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\com\tjetc\dao\TeacherMapper.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 2, 6, 57
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\db.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\main\resources\mybatis.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 22, 4, 61
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestAdmin.java", "Java", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 60
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestMyClassAndStudent.java", "Java", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 57
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestPersonAndIdCard.java", "Java", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 53
"d:\codes\996ForCredit\20230802\_20230802-mybatis\src\test\java\com\tjetc\TestTeacherAndCourse.java", "Java", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 73
"d:\codes\996ForCredit\20230802\querys\create2.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 0, 12
"d:\codes\996ForCredit\20230803\_20230803-spring\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\codes\996ForCredit\20230803\_20230803-spring\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\codes\996ForCredit\20230803\_20230803-spring\.idea\uiDesigner.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 124
"d:\codes\996ForCredit\20230803\_20230803-spring\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\codes\996ForCredit\20230803\_20230803-spring\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 4, 26
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\Test.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 46
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\Test1.java", "Java", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\Test3.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\common\AdminContent.java", "Java", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 48
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\common\MyBean.java", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\controller\UserController.java", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 38
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\dao\UserDao.java", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\java\com\tjetc\service\UserService.java", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 29
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\resources\admin.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 2
"d:\codes\996ForCredit\20230803\_20230803-spring\src\main\resources\spring.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 0, 25
"d:\codes\996ForCredit\20230804\_20230804-springAOP\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\codes\996ForCredit\20230804\_20230804-springAOP\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\codes\996ForCredit\20230804\_20230804-springAOP\.idea\uiDesigner.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 124
